index,type,a1,a2,a3,a4,a5,a6,a7,a8,mod_factor,a1_mod,a2_mod,a3_mod,a4_mod,a5_mod,a6_mod,a7_mod,a8_mod,norm_orig,norm_mod,proj_x,proj_y,dot_u
1,integer,-1.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.88787897,-0.88787897,-0.88787897,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.41421356,1.25565048,-0.62782524,-0.62782524,-0.70710678
2,integer,-1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.41421356,1.41421356,0.00000000,0.00000000,0.00000000
3,integer,1.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.41421356,1.41421356,0.00000000,0.00000000,0.00000000
4,integer,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.11212103,1.11212103,1.11212103,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.41421356,1.57277664,0.78638832,0.78638832,0.70710678
5,integer,-1.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.88787897,-0.88787897,0.00000000,-0.88787897,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.41421356,1.25565048,-0.62782524,-0.62782524,-0.70710678
6,integer,-1.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-1.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.41421356,1.41421356,0.00000000,0.00000000,0.00000000
7,integer,1.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.41421356,1.41421356,0.00000000,0.00000000,0.00000000
8,integer,1.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.11212103,1.11212103,0.00000000,1.11212103,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.41421356,1.57277664,0.78638832,0.78638832,0.70710678
9,integer,-1.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.88787897,-0.88787897,0.00000000,0.00000000,-0.88787897,0.00000000,0.00000000,0.00000000,0.00000000,1.41421356,1.25565048,-0.62782524,-0.62782524,-0.70710678
10,integer,-1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.41421356,1.41421356,0.00000000,0.00000000,0.00000000
11,integer,1.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.41421356,1.41421356,0.00000000,0.00000000,0.00000000
12,integer,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.11212103,1.11212103,0.00000000,0.00000000,1.11212103,0.00000000,0.00000000,0.00000000,0.00000000,1.41421356,1.57277664,0.78638832,0.78638832,0.70710678
13,integer,-1.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.88787897,-0.88787897,0.00000000,0.00000000,0.00000000,-0.88787897,0.00000000,0.00000000,0.00000000,1.41421356,1.25565048,-0.62782524,-0.00000000,-0.70710678
